"","ResponseId","Q187","chall_ass_self_1","chall_ass_self_2","chall_ass_self_3","chall_ass_self_4","chall_ass_self_5","chall_word_ev_1","chall_word_ev_2","chall_word_ev_3","chall_word_ev_4","chall_word_ev_5","crit_ass_self_1","crit_ass_self_2","crit_ass_self_3","crit_ass_self_4","crit_ass_self_5","crit_word_ev_1","crit_word_ev_2","crit_word_ev_3","crit_word_ev_4","crit_word_ev_5","chall_word_us_ev_1","chall_word_us_ev_2","chall_word_us_ev_3","chall_word_us_ev_4","chall_word_us_ev_5","crit_word_us_ev_1","crit_word_us_ev_2","crit_word_us_ev_3","crit_word_us_ev_4","crit_word_us_ev_5","pre_ms","pre_ms_words_4","pre_ms_words_5","pre_ms_words_6","ms_words_ev_1","ms_words_ev_2","ms_words_ev_3","chall_gnat_feedback_1","chall_gnat_feedback_2","chall_gnat_feedback_3","chall_gnat_correct_1","chall_gnat_attention_1","crit_gnat_feedback_1","crit_gnat_feedback_2","crit_gnat_feedback_3","crit_gnat_correct_1","crit_gnat_attention_1","Q194","iq_1","iq_2","fms_1","fms_2","fms_3","fms_4","crms_1","crms_2","crms_3","crms_4","chms_1","chms_2","chms_3","chms_4","grit_1","grit_2","grit_3","grit_4","grit_5","grit_6","grit_7","grit_8","fsc_1","fsc_2","crsc_1","crsc_2","chsc","mcsd_1","mcsd_2","mcsd_3","mcsd_4","mcsd_5","mcsd_6","mcsd_7","mcsd_8","mcsd_9","mcsd_10","mcsd_11","mcsd_12","mcsd_13","Q197_1","Q197_2","Q197_3","Q197_4","Q197_5","Q197_6","Q197_7","Q197_8","Q197_9","Q197_10","Q197_11","Q197_12","Q197_13","Q197_14","Q197_15","Q197_16","Q197_17","Q197_18","rei_1","rei_2","rei_3","rei_4","rei_5","rei_6","rei_7","rei_8","rei_9","rei_10","rei_11","rei_12"
"108","R_xhDXz9GMRqDG70R","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","cél","akarat","küzdelem","eredmény","versenyszellem","pozitív","pozitív","pozitív","inkább pozitív","pozitív","megfelelés","teljesítmény","vélemény","értékelés","kritikus","inkább negatív","pozitív","semleges","semleges","inkább negatív","pozitív","pozitív","inkább pozitív","inkább pozitív","inkább pozitív","semleges","semleges","inkább pozitív","semleges","inkább negatív","Véleményem szerint, az esetleges hibákat szeretné felvetni és kijavíttatni velem, a felmerülő kétértelmű kifejezéseket elmagyaráztatni és konkrét egyértelmű kifejezéssé alakíttatni. Néhány kifejezésbeli vagy esetleg elírási hibát kijavíttatni és akár az ő személyes jó és rossz tapasztalatait megosztani velem, ami által könnyen tanulhatok a másik hibájából ezáltal könnyebben kerülöm ki vagy oldom meg a hasonló helyzeteket és a segítségei által jobbá válhatok akár szakmailag is.","Izgalom","Stressz","Kisebb félelem a rossz kritikától","inkább pozitív","negatív","negatív","Inkább nem.","Közepesen.","Inkább igen.",65,50,"Nem.","Közepesen.","Igen.",72,79,"Próbáltam saját magam fölé kerekedni és az elhibázott szavak miatt felhúzott önmagamat pillanatok alatt lenyugtatni és ezáltal jobban is tudtam odafigyelni.","Nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Valamennyire jellemző rám","Nagyon jellemző rám","Egyáltalán nem jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Igaz","Hamis","Igaz","Igaz","Igaz","Hamis","Hamis","Hamis","Igaz","Hamis","Hamis","Hamis","Hamis","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Egyáltalán nem igaz","Inkább nem igaz","Inkább igaz","Teljes mértékben igaz"
"109","R_3D6gME2StLFQNAt","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","versenyhelyzet","izgalom","fejlődés","szintlépés","felemelkedés","inkább pozitív","inkább pozitív","pozitív","pozitív","pozitív","építő","kritikus","szakmai","bántó","felettes","pozitív","inkább negatív","semleges","negatív","semleges","inkább pozitív","semleges","inkább pozitív","inkább negatív","semleges","semleges","inkább pozitív","semleges","semleges","inkább negatív","Valószínűleg sok hibát talált benne, amit könnyebb személyesen átbeszélni.","izgalom","félelem","csalódottság","inkább negatív","negatív","negatív","Inkább nem.","Inkább igen.","Igen, nagyon.",50,91,"Közepesen.","Igen.","Igen, nagyon.",50,97,"Próbáltam nem olvasni a szavakat csak felületesen rápillantani, hogy minél gyorsabb legyek.","Inkább egyetértek","Inkább egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Valamennyire jellemző rám","Egyáltalán nem jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Hamis","Igaz","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Igaz","Igaz","Hamis","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább igaz","Inkább igaz","Inkább nem igaz","Inkább igaz","Inkább igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Inkább nem igaz","Egyáltalán nem igaz","Inkább nem igaz","Inkább igaz","Inkább igaz"
"110","R_3ilN20N2Nv1XTpR","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","feladat","koncentráció","nehézség","figyelem","próbatétel","semleges","inkább pozitív","inkább negatív","pozitív","semleges","negatív","pozitív","vélemény","bírálat","könyv","negatív","pozitív","semleges","inkább negatív","pozitív","inkább pozitív","inkább pozitív","inkább pozitív","negatív","inkább pozitív","inkább negatív","inkább pozitív","semleges","inkább negatív","inkább negatív","Valószínűleg negatív véleménye lesz, mert ha tetszene neki, csak visszaírt volna, hogy jól van, jó lesz így. Viszont ha már személyesen akar beszélni, annak biztos valami nyomós oka van, mondjuk annyira félreértettem a feladatot, hogy úgy érzi, szóban kell tisztázni, a további félreértések elkerülése végett. Viszont az is lehet, hogy olyan jó, hogy OTDK-versenyre akar küldeni vagy a szakdolgozat egy részét megjelentetni valamilyen szaklapban, ez esetben is akarhat személyesen beszélni, hogy megbeszéljük a részleteket.","ijedség","izgalom","aggodalom","negatív","inkább negatív","negatív","Közepesen.","Inkább nem.","Igen, nagyon.",70,85,"Közepesen.","Közepesen.","Igen, nagyon.",71,89,"Nem volt.","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Valamennyire jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Teljes mértékben jellemző rám","Kevéssé jellemző rám","Egyáltalán nem jellemző rám","Nagyon jellemző rám","Teljes mértékben jellemző rám","Egyáltalán nem valószínű, hogy így gondolnám.","Talán így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Igaz","Igaz","Igaz","Hamis","Hamis","Hamis","Igaz","Hamis","Igaz","Igaz","Igaz","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Inkább igaz","Inkább nem igaz","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Egyaránt igaz és hamis"
"111","R_32IOhm2d6gvm5Z0",NA,"nehézség","cél","kudarc","munka","remény","semleges","pozitív","negatív","pozitív","pozitív","vélemény","pozitív","negatív","nekem","kritikus","semleges","pozitív","negatív","semleges","inkább pozitív","pozitív","pozitív","pozitív","inkább pozitív","semleges","semleges","pozitív","pozitív","semleges","semleges","Úgy gondolom, szeretné személyesen átbeszélni a szakdolgozati prezentációt, ötleteket adni, amivel esetlegesen még ki lehetne egészíteni a munkát.","érdeklődés","boldogság","remény","pozitív","pozitív","pozitív","Közepesen.","Közepesen.","Közepesen.",51,61,"Közepesen.","Közepesen.","Közepesen.",50,52,"Nem","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Teljes mértékben így gondolnám.","Teljes mértékben így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Igaz","Igaz","Hamis","Igaz","Igaz","Igaz","Hamis","Hamis","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Egyáltalán nem értek egyet","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább nem értek egyet","Közepesen egyetértek","Egyáltalán nem értek egyet","Inkább igaz","Inkább nem igaz","Inkább igaz","Inkább igaz","Inkább nem igaz","Inkább igaz","Teljes mértékben igaz","Teljes mértékben igaz","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Inkább igaz"
"112","R_1jVq2pVgYV2m0jU","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","verseny","párbaj","nehézség","ellenfél","munka","inkább pozitív","semleges","inkább negatív","semleges","inkább pozitív","értékelés","tanács","segítség","nehézség","csalódás","pozitív","pozitív","pozitív","inkább negatív","negatív","inkább pozitív","inkább negatív","inkább negatív","inkább negatív","semleges","inkább negatív","inkább pozitív","inkább pozitív","pozitív","inkább negatív","Mivel nem találkozik a hallgatókkal, ezért vagy valami nagyon rosszra, vagy pont nagyon jóra lehet számítani.","bizonytalanság","kétely","izgalom","negatív","inkább negatív","semleges","Inkább nem.","Inkább igen.","Igen, nagyon.",51,77,"Igen.","Igen.","Igen, nagyon.",50,78,"Magamban mondogattam a megjelenő szavakat, de nagyon gyors volt, így nem vált be mindig","Egyetértek","Inkább egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Kevéssé jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Teljes mértékben jellemző rám","Egyáltalán nem jellemző rám","Kevéssé jellemző rám","Teljes mértékben jellemző rám","Teljes mértékben jellemző rám","Nagyon valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Hamis","Hamis","Hamis","Igaz","Hamis","Igaz","Igaz","Igaz","Hamis","Hamis","Igaz","Hamis","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Egyáltalán nem értek egyet","Teljes mértékben igaz","Inkább nem igaz","Egyaránt igaz és hamis","Inkább igaz","Egyaránt igaz és hamis","Egyáltalán nem igaz","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz","Egyáltalán nem igaz","Inkább igaz","Inkább igaz"
"113","R_2sMwgERpfSnoa8F",NA,"megerőltető","fejlődés","feladat","mérkőzés","barátságos","inkább negatív","pozitív","semleges","semleges","pozitív","kritikus","csillag","étel","film","újság","semleges","inkább pozitív","inkább pozitív","pozitív","semleges","semleges","semleges","semleges","semleges","inkább pozitív","semleges","semleges","semleges","semleges","inkább negatív","vagy valamit nagyon elszúrtam, vagy annyira jó lett. vagy teljesen félreértettem a feladattot","feszültség","szorongás","idegesség","inkább negatív","negatív","negatív","Inkább igen.","Igen, nagyon.","Igen, nagyon.",57,93,"Igen, nagyon.","Igen, nagyon.","Igen, nagyon.",50,89,"nem","Inkább egyetértek","Egyetértek","Nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Igaz","Hamis","Hamis","Hamis","Hamis","Igaz","Igaz","Hamis","Inkább egyetértek","Egyáltalán nem értek egyet","Közepesen egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Egyáltalán nem értek egyet","Közepesen egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Inkább igaz","Inkább nem igaz","Egyaránt igaz és hamis","Inkább nem igaz","Inkább igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Inkább igaz","Inkább igaz"
"114","R_2V7UNxt6McWh5MF","a böngészőt átváltottam teljes képernyős módra","feladatok","verseny","nehéz","küzdés","elszánt","semleges","semleges","inkább negatív","inkább pozitív","pozitív","vélemény","építő jellegű","leépítő jellegű","minősítés","kritikus","inkább pozitív","pozitív","negatív","inkább negatív","inkább negatív","semleges","inkább negatív","inkább pozitív","negatív","semleges","inkább negatív","pozitív","inkább pozitív","inkább negatív","inkább negatív","Ha személyes konzultációt kért, szerintem inkább a hiányosságokat szeretné átbeszélni. Kicsit negatívabb kicsengésű visszajelzésre számítanék.","izgulás","frusztráció","kíváncsiság","inkább negatív","negatív","pozitív","Inkább nem.","Közepesen.","Igen, nagyon.",96,96,"Nem.","Közepesen.","Igen, nagyon.",95,95,"Nem igazán mondanám stratégiának, de esetleg azt, hogy a szó színéből következtetve már csak két kategóriát gondoltam végig, mielőtt eldöntöttem, hogy megnyomom-e a space-t.","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Valamennyire jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Teljes mértékben jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Teljes mértékben jellemző rám","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Hamis","Igaz","Igaz","Hamis","Hamis","Hamis","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Egyáltalán nem értek egyet","Teljesen egyetértek","Inkább egyetértek","Egyaránt igaz és hamis","Inkább igaz","Inkább nem igaz","Inkább igaz","Egyaránt igaz és hamis","Inkább igaz","Egyáltalán nem igaz","Inkább nem igaz","Egyáltalán nem igaz","Egyáltalán nem igaz","Inkább igaz","Teljes mértékben igaz"
"115","R_12tzAmbTfzm9vcW","a böngészőt átváltottam teljes képernyős módra","harc","jutalom","verseny","nehézség","gondolkodás","inkább negatív","pozitív","semleges","semleges","pozitív","értékelés","negatív","pozítív","személyes","kihívás","semleges","negatív","pozitív","semleges","semleges","semleges","semleges","semleges","semleges","semleges","inkább negatív","semleges","semleges","semleges","inkább negatív","Átbeszélni néhány részletet","kíváncsi","örül","megijedt","inkább pozitív","inkább pozitív","inkább negatív","Közepesen.","Közepesen.","Inkább igen.",61,55,"Igen.","Közepesen.","Igen.",54,50,"nem","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Valamennyire jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Talán így gondolnám.","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Hamis","Közepesen egyetértek","Inkább nem értek egyet","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Egyáltalán nem értek egyet","Közepesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem igaz","Inkább igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis"
"116","R_3soEJYj3mZvWIA9","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","nehéz","megerőltető","kitartás","verejték","félelem","negatív","negatív","pozitív","inkább negatív","negatív","vélemény","bírálat","szöveg","vélekedés","közvetett","semleges","negatív","semleges","semleges","semleges","inkább negatív","inkább negatív","inkább pozitív","inkább negatív","inkább pozitív","inkább negatív","semleges","semleges","semleges","inkább negatív","A személyes konzultáció kívánalma két irányba mutat, vagy kiemelkedően jól sikerült, vagy éppen ellenkezőleg, mindkettő megfordulna a fejemben.","frusztráció","remény","hitetlenkedés","negatív","pozitív","inkább negatív","Inkább igen.","Inkább igen.","Igen, nagyon.",75,95,"Igen.","Igen.","Igen, nagyon.",70,90,"A belső hangomra próbáltam hagyatkozni.","Egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Valamennyire jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Egyáltalán nem jellemző rám","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Hamis","Igaz","Igaz","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Hamis","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Egyáltalán nem értek egyet","Inkább igaz","Inkább nem igaz","Inkább igaz","Inkább igaz","Inkább nem igaz","Inkább nem igaz","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Teljes mértékben igaz","Egyaránt igaz és hamis"
"117","R_Tenco8DzxCPesOB","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","tanulmányok","munkahely","jövő","pozitív","negatív","semleges","inkább negatív","inkább pozitív","pozitív","negatív","építő","sértés","hasznos","megfogalmazás","megfelelő","pozitív","negatív","pozitív","semleges","pozitív","semleges","semleges","inkább pozitív","inkább negatív","semleges","semleges","inkább pozitív","semleges","semleges","inkább negatív","Szerintem valószínűleg kritizálni fogja, lesz pozitív és negatív hozzászólása is. Valószínűleg segíteni akar, hogy jobb lehessen.","összezavarodottság","kíváncsiság","aggodalom","inkább negatív","inkább pozitív","negatív","Inkább igen.","Inkább igen.","Igen, nagyon.",71,70,"Igen.","Igen.","Igen, nagyon.",75,75,"Mivel csak az egyik fogalom változott elsősorban a másikra figyeltem, mert az előzőhöz tartozó szavakat nagyjából megjegyeztem annyira, hogy sokkal gyorsabban tudtam reagálni, ha azok jelentek meg, bár nem biztos, hogy ez nagyon bevált.","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Egyetértek","Egyetértek","Inkább nem értek egyet","Nem értek egyet","Nagyon jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Teljes mértékben jellemző rám","Teljes mértékben jellemző rám","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Igaz","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Igaz","Igaz","Igaz","Igaz","Hamis","Közepesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Közepesen egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább igaz","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Inkább igaz","Inkább nem igaz","Egyáltalán nem igaz","Egyáltalán nem igaz","Egyáltalán nem igaz","Inkább nem igaz","Teljes mértékben igaz","Teljes mértékben igaz"
"118","R_2P6bYj9tcgqMy4z","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","kitartás","fejlődés","stressz","jövő","karrier","inkább pozitív","pozitív","negatív","semleges","semleges","pozitív","fejlődés","önbecsülés","rossz","építő","pozitív","pozitív","inkább negatív","negatív","inkább pozitív","inkább pozitív","inkább pozitív","inkább negatív","semleges","inkább negatív","semleges","inkább pozitív","inkább pozitív","semleges","inkább negatív","Szerintem az őszinte véleményét szeretné elmondani és ha valami javítandó szerinte, az is építő kritika lenne.","kitartás","stressz","fejlődés","inkább pozitív","negatív","inkább pozitív","Közepesen.","Inkább igen.","Igen, nagyon.",55,81,"Közepesen.","Igen.","Igen, nagyon.",39,77,"hangosan kimondtam a szavakat","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Hamis","Hamis","Igaz","Igaz","Hamis","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább igaz","Egyaránt igaz és hamis","Inkább igaz","Inkább igaz","Egyaránt igaz és hamis","Inkább nem igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz"
