"","ResponseId","d_sens_crit","criticism_d","d_sens_chall","challange_d","challenge_seeking","t1p1_correct","t1p2_correct","t1p3_correct","t1p4_correct","t1pp1_correct","t1pp2_correct","t1pp3_correct","t1tp1_correct","t1tp2_correct","t1tp3_correct","t1tp4_correct","t1tp5_correct","t1tp6_correct","t1tp7_correct","t1tp8_correct","set1_scoreraw","eiottime","perssec","eiottimetrans","perstrans","ewd","pers_wd","effort","persistence","resilience","perc_score","Q187","chall_ass_self_1","chall_ass_self_2","chall_ass_self_3","chall_ass_self_4","chall_ass_self_5","chall_word_ev_1","chall_word_ev_2","chall_word_ev_3","chall_word_ev_4","chall_word_ev_5","crit_ass_self_1","crit_ass_self_2","crit_ass_self_3","crit_ass_self_4","crit_ass_self_5","crit_word_ev_1","crit_word_ev_2","crit_word_ev_3","crit_word_ev_4","crit_word_ev_5","chall_word_us_ev_1","chall_word_us_ev_2","chall_word_us_ev_3","chall_word_us_ev_4","chall_word_us_ev_5","crit_word_us_ev_1","crit_word_us_ev_2","crit_word_us_ev_3","crit_word_us_ev_4","crit_word_us_ev_5","pre_ms","pre_ms_words_4","pre_ms_words_5","pre_ms_words_6","ms_words_ev_1","ms_words_ev_2","ms_words_ev_3","chall_gnat_feedback_1","chall_gnat_feedback_2","chall_gnat_feedback_3","chall_gnat_correct_1","chall_gnat_attention_1","crit_gnat_feedback_1","crit_gnat_feedback_2","crit_gnat_feedback_3","crit_gnat_correct_1","crit_gnat_attention_1","Q194","iq_1","iq_2","fms_1","fms_2","fms_3","fms_4","crms_1","crms_2","crms_3","crms_4","chms_1","chms_2","chms_3","chms_4","grit_1","grit_2","grit_3","grit_4","grit_5","grit_6","grit_7","grit_8","fsc_1","fsc_2","crsc_1","crsc_2","chsc","mcsd_1","mcsd_2","mcsd_3","mcsd_4","mcsd_5","mcsd_6","mcsd_7","mcsd_8","mcsd_9","mcsd_10","mcsd_11","mcsd_12","mcsd_13","intdel_1","intdel_2","intdel_3","intdel_4","intdel_5","intdel_6","intdel_7","intdel_8","intdel_9","intdel_10","intdel_11","intdel_12","intdel_13","intdel_14","intdel_15","intdel_16","intdel_17","intdel_18","iqms_avg","crms_avg","chms_avg","fms_avg","fsc_avg","crsc_avg","chall_ev_participant","crit_ev_participant","chall_ev_us","crit_ev_us","mcsd","grit_avg","pre_ms_ev","intuition_pid","deliberation_pid"
"47","R_1rkJKGnqAfHHZvw",0.266504605650456,0.204678256044878,-1.44277523374733,0.251931088272155,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,3,16.208,25.497,4.02591604482756,5.04945541618104,4.02591604482756,5.04945541618104,0,0.172646451908652,1,2.17264645190865,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","Nehézség","Lehetőség","Feladat","Harc","Küzdelem",2,5,3,2,2,"Bírálat","Értékelés","Visszajelzés","Fájdalom","Motiváció",1,3,4,1,5,3,3,4,2,3,2,4,4,2,1,"Hogy valószínüleg nem lesz jó ez a munkám","Rémület - hogy nincs meg bennem a képesség","Félelem - hogy amit elküldtem az mind rossz","Stressz - hogy újra kell kezdeni",1,1,1,4,5,5,68,72,4,4,5,71,71,"nem",4,3,2,2,2,5,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,2,3,4,3,3,0,0,0,0,1,0,0,0,1,1,1,0,0,1,3,2,4,2,2,2,1,4,4,3,3,3,2,4,3,4,2,2,3.5,3.25,3,2.75,3.5,3,2.8,2.8,3,2.6,0.384615384615385,2.75,1,3,2.55555555555556
"48","R_1ZgcsAh1HR9ideV",0.0856095944865654,0.251382145003184,-0.0193317894416514,-0.143693428857233,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,4,359.989,246.92,18.9733760833437,15.7136883003323,18.9733760833437,15.7136883003323,0.707905616303496,0.537268340414951,1,3.24517395671845,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","Nehéz","Cél","Gyengeség","Küzdés","Élet",1,4,1,4,3,"Vélemény","Lesújtó","Ellenszenves","Építő","Ítélkezés",3,1,1,5,1,4,2,4,2,3,1,5,4,4,2,"Lehetnek benne hibák viszont segíteni szeretne, hogy azok ki legyenek javítva. Nem jelenti az hogy teljesen rossz az egész csak kell egy kis korrekció.","Pozitív","Nem vagyok egyedül","Csak jobb lehet minden",5,5,5,4,5,5,45,50,5,5,5,34,57,"Nem nem volt.",4,4,3,3,3,3,3,3,3,4,2,4,4,4,3,4,2,3,3,3,3,5,4,4,3,4,0,0,0,1,1,1,1,1,1,1,1,0,1,1,5,3,4,3,3,5,4,2,5,5,5,5,3,5,5,4,2,5,4,3.25,3.5,3,4,3.5,2.6,2.2,3,3.2,0.769230769230769,3.25,5,4.33333333333333,3.77777777777778
"49","R_21b2Ya6mo3wxwo5",-1.77166361626954,-0.0565158715289531,0,0.368334335472517,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,4,231.902,127.665,15.2283288643239,11.2988937511599,15.2283288643239,11.2988937511599,0.53054170612514,0.38632164379143,1,1.91686334991657,NA,"nyerni","kipróbálni","veszteni","cél","megvalósulás",3,5,3,5,5,"pozitív","negatív","megértés","segítség","megbántódás",4,2,4,4,2,4,4,3,2,4,2,4,4,3,2,"Kíváncsian várom az értékelését. Jó esetben kapok pozitív és negatív visszajelzést is és  amin ha tudok, javítok . Ha a segítőszándékú meglátásokkal tudja segíteni a munkámat hogy  jobb legyen , akkor örömmel veszem bármit is mondd .","kíváncsi","izgalom","érdeklődés",4,4,4,3,3,5,49,76,3,4,4,40,51,"nem",4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,3,3,3,3,3,3,3,3,4,4,4,0,0,0,1,0,0,1,0,1,1,1,1,0,0,4,5,4,4,4,4,3,3,4,5,5,5,3,5,4,4,4,3,4,3.75,4,3.75,3.5,4,4.2,3.2,3.4,3,0.461538461538462,2.875,4,4.11111111111111,4
"50","R_22K7KMUIFL3VO6P",-0.227132955435852,-0.0679050026215275,-0.561904559571965,-0.152151119665512,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,4,228.728,218.557,15.123756147201,14.783673427129,15.123756147201,14.783673427129,0.525589184855797,0.505470105784283,1,3.03105929064008,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","feladat","újdonság","nehézség","fejlődés","szint",4,5,2,5,3,"építő","igazság","visszacsatolás","őszinte","szembesülés",5,4,5,4,3,4,2,2,3,4,3,4,4,4,3,"Szeretné benne kijavítani a hibákat, de nem feltétlenül rossz az egész.","kíváncsiság","félelem","bizonytalanság",5,1,2,5,4,5,50,75,4,3,5,60,75,"Csak a szavakra próbáltam koncentrálni.",4,4,1,2,6,4,4,3,4,4,5,6,5,6,4,4,4,2,3,3,2,3,4,5,4,4,0,0,1,1,1,1,1,0,0,1,1,0,1,1,5,5,5,4,4,4,1,2,3,5,4,5,2,4,3,2,1,2,4,3.75,5.5,3.25,4.5,4,3.8,4.2,3,3.6,0.692307692307692,3.125,2.66666666666667,2.88888888888889,3.88888888888889
"51","R_22KsRHdpaXAoZ8X",-0.449365931411003,0.0323077648811827,-0.883437529893779,-0.0877795665851764,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,194.257,122.354,13.9376109861052,11.0613742365043,13.9376109861052,11.0613742365043,0.469413833382886,0.3782005895223,1,1.84761442290519,"kikapcsoltam a tv-t és leállítottam a zenét","próba","erőfeszítés","küzdelem","győzelem","kudarc",4,5,4,5,1,"vélemény","javulás","önkép","hamis","alaptalan",4,5,4,1,1,4,4,4,5,5,4,4,4,4,4,"Építő jellegű kritikát fog velem közölni","Aggodalom","Remény","Izgatottság",2,5,4,2,3,5,65,80,2,3,5,70,75,NA,2,2,3,2,3,3,5,5,5,6,2,2,3,3,4,4,4,3,4,5,3,2,3,5,4,5,0,0,0,0,0,1,0,1,1,0,1,0,0,0,4,4,2,4,4,3,2,1,3,5,1,5,2,4,4,4,1,4,2,5.25,2.5,2.75,4,4.5,3.8,3,4.4,4,0.307692307692308,3.625,3.66666666666667,3.11111111111111,3.22222222222222
"52","R_23WSBSHsIAeJB32",-0.245502418376705,0.022237179662052,0.218445362483987,0.670227223637649,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,3,213.323,163.488,14.6055811250357,12.786242606802,14.6055811250357,12.786242606802,0.501048626963435,0.437175742206507,1,2.93822436916994,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","fejlődés","tanulás","újdonság","próba","megerőltetés",5,5,4,4,4,"fejlődés","tanulás","vélemény","negatív","épít",5,5,4,1,5,4,4,4,4,4,3,4,4,2,1,"Mivel, keveset szokott írni, így nyílván valami fontosat szeretne mondani, ami érzésem szerint inkábbb negatív. Nagy változtatásokra van szükség, amit írásban nehéz lenne megbeszélni.","rémület","félelem","csalódottság",1,1,1,4,3,5,70,80,4,3,4,65,70,"Viszonykólag sok egforma szó jelent meg egymás után, ha pedig másik akkor tudtam, hogy több olyan fog jönni",3,3,1,2,2,1,4,4,4,4,5,6,5,6,3,3,3,2,2,2,2,2,4,3,3,4,0,0,0,1,1,1,1,1,1,1,1,0,0,0,5,5,4,5,4,4,4,4,2,4,3,3,2,3,3,2,2,3,3,4,5.5,1.5,3.5,3.5,4.4,4,4,2.8,0.615384615384615,2.375,1,2.55555555555556,4.33333333333333
"53","R_247wbwXLMjsnUKA",0.182861325760547,0.0806485919053754,-1.28546892685081,-0.201661563566351,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,4,97.156,90.68,9.85677432023276,9.52260468569393,9.85677432023276,9.52260468569393,0.276147071836481,0.325588360805287,0,1.60173543264177,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","cél","erőlködés","challenge","elfogadom","fáradtság",3,2,3,4,1,"fáj","feladás","elviselni","bántó","pozitív",1,1,1,1,4,3,2,4,2,2,2,5,4,4,3,"Valamivel még biztosan ki kell egészíteni, mert hiányzik belőle valami.","izgulás","félelem","elegem van",1,1,1,4,4,4,60,60,5,5,4,40,29,"nem",6,5,1,2,3,3,3,3,3,3,2,1,4,3,2,4,3,3,2,4,4,4,5,2,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,4,4,3,4,3,3,4,3,5,5,4,5,2,5,5,4,3,4,5.5,3,2.5,2.25,3.5,3,2.6,1.6,2.6,3.6,0.307692307692308,3.25,1,4.11111111111111,3.66666666666667
"54","R_25X9j9O6rTGlUir",-1.29323046995059,0.672972684717118,-0.944960151083877,-0.1295326004775,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,182.025,138.682,13.4916640930613,11.7763321964014,13.4916640930613,11.7763321964014,0.448293970252602,0.4026457910077,1,2.8509397612603,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","siker","kitartás","küzdelem","munka","szeretem",5,5,4,3,5,"önkritika","negatív","pozítív","építő","segítség",4,1,5,5,5,5,4,4,4,4,3,5,4,4,3,"Meg szeretné velem beszélni, hogyan tehetném még jobbá a prezentációm az apró hibák javításával","kíváncsiság","izgalom","stressz",4,2,1,4,4,5,76,63,3,4,5,85,70,"nem",4,2,2,3,4,4,3,3,3,3,5,5,5,5,3,1,2,2,2,2,2,2,4,5,3,5,0,0,0,0,0,0,1,1,1,1,1,0,1,0,4,4,3,4,5,4,5,4,4,5,4,3,2,4,4,5,3,3,3,3,5,3.25,4.5,4,4.4,4,4.2,3.8,0.461538461538462,2,2.33333333333333,3.55555555555556,4.22222222222222
"55","R_278aYQm8IKA4mY8",-0.333424020441562,0.262419252177377,0.471803235418436,-0.989504712425964,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,580.664,212.217,24.0969707639778,14.5676696832404,24.0969707639778,14.5676696832404,0.950556972502981,0.49808469945673,1,3.44864167195971,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","Esély","Küzdelem","Harc","Fejlődés","Erény",4,2,2,5,5,"vélemény","komment","hozzászólás","segítség",".",3,4,3,5,3,4,2,4,2,4,3,4,4,3,2,"Valószínűleg nem emailben szeretné kifejteni a véleményét egy ekkora volumenű dologról. Valószínűleg van amit javítanom kell, de biztosan jó az alap.","Kevés félelem","Bizakodás","Kevés aggódás",2,4,2,4,2,4,45,66,4,2,4,50,50,"először az egyik kategóriát próbáltam megjegyezni",5,4,5,6,6,6,6,6,5,6,6,6,6,6,2,1,2,1,1,2,2,1,5,5,5,5,1,0,1,1,1,1,1,0,1,1,0,1,1,0,4,4,5,4,5,5,4,5,5,5,3,5,2,4,5,5,5,5,4.5,5.75,6,5.75,5,5,3.6,3.6,3.2,3.2,0.692307692307692,1.5,2.66666666666667,4.33333333333333,4.55555555555556
"56","R_27BRX3trqnXmPU5",1.24895884027529,0.210607118746645,0.848558960465271,-0.0134441974880266,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,4,145.838,238.066,12.0763405053021,15.4293875445528,12.0763405053021,15.4293875445528,0.381264821883591,0.52754778389652,1,2.90881260578011,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","verseny","önismeret","nehézség","új","fejlődés",3,5,2,4,5,"cikk","film","kritikus","vita","értékelés",3,4,2,1,4,4,4,2,2,4,4,4,4,3,2,"Érdekelte valamilyen felvetésem vagy megfogalmazásom. Esetleg építő jellegű kritikát, tanácsokat szeretne adni, amit célravezetőbb személyesen átbeszélni.","kíváncsiság","félelem","izgatottság",4,2,5,2,3,5,87,100,3,4,5,80,100,"Próbáltam emlékezni a gyakorló feladatnál felugró szavakra.",5,3,2,4,6,6,6,4,5,5,4,4,5,5,4,2,4,3,2,4,2,2,4,4,3,5,1,0,1,0,1,0,1,1,1,0,1,0,1,0,4,4,5,4,4,2,5,3,4,5,5,5,4,5,4,4,5,5,4,5,4.5,4.5,4,4,3.8,2.8,3.2,3.4,0.538461538461538,2.875,3.66666666666667,4.55555555555556,4
"57","R_27JO1BWCYqCjxmp",1.36184179553867,0.207553654666679,0.176033822059802,-0.329271878958556,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,4,211.333,216.925,14.5372968601456,14.7283739767837,14.5372968601456,14.7283739767837,0.497814712004217,0.503579356563284,1,2.0013940685675,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","megpróbáltatás","állandó","pozitív","verseny","feladat",4,3,4,4,3,"visszaigazolás","negatív","elgondolkozás","fejlesztés","pozitív",4,2,4,5,5,4,4,4,4,4,2,4,4,4,2,"Ötleteket mondana, és segíteni szeretne. Saját tapasztalatait felhasználva próbálná esetleg jobbá tenni azt.","Stressz","kíváncsiság","félelem",1,4,2,4,4,5,70,85,4,4,5,61,90,"Nem igazán, próbáltam csak helyesen választani.",4,4,3,3,3,3,4,4,3,3,4,4,4,4,3,3,4,2,3,4,3,3,3,4,3,4,1,0,0,1,1,0,1,0,1,1,0,0,0,1,4,4,4,4,3,2,4,2,4,4,5,4,3,4,5,4,4,3,4,3.5,4,3,3.5,3.5,3.6,4,4,3.2,0.461538461538462,3.125,2.33333333333333,4,3.44444444444444
"58","R_27KKMJPCWwTkq6A",0.0592179389232999,-0.0718748798678801,-0.503030947751083,0.878243032543334,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,3,81.549,48.298,9.03044849384569,6.94967625145229,9.03044849384569,6.94967625145229,0.237012617428259,0.237617098842416,1,1.47462971627067,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","cél","teljesítmény","ma","élet","fejlődés",4,4,3,3,5,"görög","művészet","fölösleges","vélemény","személy",3,3,2,2,3,2,3,3,2,3,2,3,4,3,3,"Az szeretné mondani, hogy min javítsak","közöny","nyugalom","izgatottság",3,5,4,5,4,4,90,95,5,4,4,80,90,"Két kézzel nyomtam a spacet, hátha az segít hogy azt éreztem hogy mindkét agyféltekémet használnom kell",4,3,5,4,4,4,2,3,4,4,5,4,5,5,1,4,2,1,1,1,3,1,3,3,3,5,0,0,0,1,1,0,0,0,1,0,0,1,1,1,4,4,4,4,4,4,5,4,4,3,3,3,3,3,3,3,3,3,3.5,3.25,4.75,4.25,3,4,3.8,2.6,2.6,3,0.461538461538462,1.75,4,3.11111111111111,4
"59","R_27vQyJ8szRZtPXp",0,-0.212112816492653,-0.902924399391958,-0.164032606942211,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,569.286,1952.474,23.859715002489,44.1868079860947,23.859715002489,29.2473743905998,0.939320636321083,1,1,3.93932063632108,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","fejlődés","nehézség","időigényesség","munka","önmegvalósítás",5,3,3,3,4,"visszajelzés","fejlődés","negativitás","precizitás","pesszimizmus",5,5,1,4,5,3,4,3,4,3,4,4,4,3,2,"Olyan dolgot szeretne velem közölni, amit nem szeretné, hogy félreértsek és ez írásban könnyen megtörténhetne, ezért beszélne inkább személyesen. Először az lenne a benyomásom, hogy nem jó irányba haladok, építőjellegű kritikát fogalmazna meg.","enyhe szorongás","izgatottság","kétely",1,4,2,3,4,4,50,18,2,3,4,66,56,"igyekeztem belehelyezkedni az adott címszavak hangulatába",4,4,2,4,4,5,3,3,4,4,2,2,4,4,4,4,4,4,4,5,4,4,4,3,4,3,0,0,0,0,0,1,1,0,1,1,1,0,0,0,3,2,3,4,3,2,2,2,3,4,4,4,3,4,4,3,4,4,4,3.5,3,3.75,3.5,3.5,3.6,4,3.4,3.4,0.384615384615385,4.125,2.33333333333333,3.66666666666667,2.77777777777778
"60","R_28ICOEXbjdsmd9J",0.54158913615561,0.256169207176279,0.379426296555347,-0.339067236320495,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,4,187.234,179.207,13.6833475436386,13.3868218782503,13.6833475436386,13.3868218782503,0.457372020360542,0.457710210136088,1,1.91508223049663,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","siker","győzelem","vereség","nehézségek","bátorság",5,5,1,2,5,"vélemény","pozitív","negatív","segítség","önfejlesztés",3,5,1,5,5,4,4,4,2,4,2,4,3,3,3,"Nagyon jónak találta. Van számomra egy jó lehetősége.","izgatottság","döbbenet","várakozás",4,3,3,4,3,5,70,93,4,3,5,80,96,"folyamatos koncentráció",4,4,1,2,3,2,4,3,3,4,3,4,3,4,3,3,4,2,3,4,3,2,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,3,4,3.5,3.5,2,3.5,3.5,3.6,3.8,3.6,3,0,3,3.33333333333333,3.33333333333333,3.22222222222222
"61","R_294HbbpjRVBAqDh",-0.357469234879371,0.709799740957008,0.950933488675072,0.336779868687133,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,4,190.813,169.218,13.8135078817801,13.0083819132127,13.8135078817801,13.0083819132127,0.463536360934318,0.444770930186255,1,2.90830729112057,NA,"energiabefektetés","kitartás","szorgalom","munka","lelkiismeretesség",3,2,4,4,5,"durva","bántó","építő jellegű","hasznos","elgondolkodtató",1,1,4,4,3,3,2,2,2,2,2,4,4,4,2,"Szerintem azt fogja elmondani, hogy valahol még hiányos és kiegészíthetném.","kétkedés","félelem","izgatottság",1,1,4,1,3,5,65,65,3,3,4,45,35,"Igazából nem mondhatnám, egyszerűen próbáltam nagyon koncentrálni és elvégezni a feladatokat.",6,5,2,3,5,3,3,3,4,3,3,4,5,3,3,4,3,2,1,5,3,3,1,2,4,5,0,0,1,0,1,1,1,0,0,1,1,1,0,0,3,3,5,5,3,5,3,4,4,3,4,5,3,4,4,4,3,4,5.5,3.25,3.75,3.25,1.5,4.5,3.6,2.6,2.2,3.2,0.538461538461538,3,2,3.88888888888889,3.77777777777778
"62","R_2ahmurw1PnO9dC2",-0.4103006924362,0.193026187569322,0.398991114561741,0.535506502752121,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,4,55.464,64.055,7.44741565913975,8.00343676179178,7.44741565913975,8.00343676179178,0.162040827465713,0.273646333339382,1,1.4356871608051,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","nehézség","fejlődés","fontos","élet","mindig",1,5,3,5,3,"pozitív","negatív","őszinte","segítség","szándék",5,1,3,5,5,5,2,2,3,4,3,4,5,3,1,"Alaposan átnézte, így arra a következtetésre jutott, hogy személyesen egyszerűbb lenne a sok gondolatot megosztani velem a szakdolgozatommal kapcsolatban","érdeklődés","lehetőség","izgatott",5,5,2,5,3,5,78,90,5,3,5,50,70,"nem",6,6,4,4,4,6,5,6,6,6,6,6,6,5,4,1,1,1,2,1,1,1,4,5,4,5,1,0,1,0,1,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,1,3,1,6,5.75,5.75,4.5,4.5,4.5,3.4,3.8,3.2,3.2,0.846153846153846,1.5,4,3.77777777777778,4.88888888888889
"63","R_2aKziqynAWv188V",0.185886634840626,0.341671313197776,-0.877241379218796,-0.0873152153990837,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,4,186.323,168.364,13.650018315006,12.9755154040215,13.650018315006,12.9755154040215,0.455793561674233,0.443647187974313,0.666666666666667,2.56610741631521,"kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","Nehéz","Kitartás","Bátorság","Jutalom","Elszántság",3,5,5,5,5,"Negatív","Pozitív","Sértő","Építő","Vélemény",1,5,1,5,3,4,2,4,2,3,3,5,3,3,3,"Elöszőr megijednék, hogy valami rossz hírt szeretne közölni. De könnyen meglehet, hogy a tanárom fontos észrevételt tett a prezentációmban és úgy gondolja könnyebb/egyszerűbb lenne személyesen átbeszélni.","Bizonytalanság","Bizakodás","Félelem",2,5,1,1,3,5,71,96,1,3,5,60,94,"Nem volt.",3,2,4,4,5,4,5,4,4,3,5,5,5,5,4,2,2,3,2,2,3,3,3,4,4,4,0,0,0,1,1,0,1,0,1,1,0,1,1,0,4,5,4,4,3,4,3,3,5,5,5,5,2,3,4,3,2,3,2.5,4,5,4.25,3.5,4,4.6,3,3,3.4,0.538461538461538,2.625,2.66666666666667,3.55555555555556,3.88888888888889
"64","R_2AQpsaXGLlKDleX",-0.580441349428281,-0.605227041495511,0.324723747225926,0.204731698979512,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,4,110.463,188.386,10.5101379629385,13.7253779547231,10.5101379629385,13.7253779547231,0.307090107707998,0.469285815930695,1,2.77637592363869,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","harc","kudarc","verseny","élethelyzet","siker",4,1,3,3,5,"vélemény","jóindulat","rosszindulat","filmek","hírességek",3,5,1,4,3,4,4,4,4,4,2,3,3,3,2,"Tanácsot szeretne adni a szakdolgozatommal kapcsolatban, segíteni engem, és korrigálni a hibáimat.","nyugodtság","izgalom","bizalom",5,3,5,5,5,5,61,72,4,5,5,40,67,"Nem volt.",5,5,1,2,5,5,4,3,4,4,5,6,6,5,3,2,1,2,2,3,1,2,4,3,3,3,0,0,1,0,1,1,0,1,1,0,0,0,1,0,5,3,3,5,4,5,4,4,5,4,2,5,1,5,4,3,4,3,5,3.75,5.5,3.25,3.5,3,3.2,3.2,4,2.6,0.461538461538462,2,4.33333333333333,3.55555555555556,4.11111111111111
"65","R_2axBSqi0MT6urDA",0.263219637796307,0.320023791716903,-0.446080963556855,0.0440128927017387,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,4,107.895,210.05,10.3872518020889,14.4931018074117,10.3872518020889,14.4931018074117,0.301270269206528,0.49553514150897,1,2.7968054107155,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","bonyolult","teljesítmény","fejlődés","jutalom","stressz",2,4,5,5,1,"instruktív","asszertív","jogos","jogtalan","feladat",4,5,3,1,3,4,2,4,2,4,3,3,3,2,3,"Valószínű, hogy kisebb nagyobb problémákat talált a munkában, és ezeknek kijavítása érdekében szeretne velem beszélni az adott témavezető.","feszült","izgatott","riadt",2,4,1,3,4,5,55,50,4,4,5,70,65,"Nem igazán. A sokszor látott szavakat már szinte reflexszerűen tudtam kategorizálni.",3,3,2,2,4,3,4,4,5,4,3,5,4,3,3,3,2,3,2,2,2,3,3,4,4,4,0,0,1,0,1,0,0,0,1,0,0,0,1,1,4,4,4,4,4,4,3,2,4,4,3,5,2,4,2,3,4,2,3,4.25,3.75,2.75,3.5,4,3.4,3.2,3.2,2.8,0.384615384615385,2.5,2.33333333333333,3.22222222222222,3.66666666666667
"66","R_2B2R9DHPssRnV0L",0.858810847787583,0.215362891390324,-0.123643386837248,0.306349258782335,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,2,70.109,71.737,8.37311172742846,8.4697697725499,8.37311172742846,8.4697697725499,0.20588141603682,0.289590773497676,1,1.4954721895345,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","bátorság","kaland","nehéz","teljesítmény","akarat",4,4,2,3,4,"negatív","pozitív","vélemény","megerősítés","eltántorítás",1,5,3,5,2,4,4,3,2,3,2,3,3,3,3,"Nem volt egyértelmű számára valami, vagy negatív vagy pozitív véleményt mond majd személyesen","izgalom","bizakodás","feszült",3,4,2,3,3,4,60,95,2,3,4,60,99,"Suttogva kimondtam a szavakat.",5,6,2,2,3,4,3,2,3,3,4,4,5,5,3,3,2,2,2,3,2,3,4,3,4,3,0,0,0,0,1,1,0,1,1,1,1,0,0,0,4,4,4,4,3,4,2,4,4,4,5,5,5,4,5,5,4,5,5.5,2.75,4.5,2.75,3.5,3.5,3.4,3.2,3.2,2.8,0.461538461538462,2.5,3,4.66666666666667,3.66666666666667
"67","R_2CqfuMUVxL46rcR",-1.25948504660434,0.488660449329112,-0.0627328746344831,0.271869124621475,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4,485.086,332.672,22.024667988417,18.2392982321141,22.024667988417,18.2392982321141,0.852413557520054,0.623621730570668,1,3.47603528809072,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","akadály","megerőltető","bizonyítás","elfogadás","nehéz",2,3,4,5,3,"film","kritikus","vélemény","építő","segítő",4,3,4,5,5,4,3,3,4,4,3,4,3,4,3,"Mivel énmindent megtettem, hogy tökéletes prezentációt készítsem, azt gondolom, hogy főleg dícsérni fog, illetve építő jellegű kritikákat fog még megfogalmazni.","izgalom","kíványcsiság","félelem",4,3,1,4,3,5,75,80,4,3,5,81,86,"Nem volt",5,5,4,4,4,4,4,4,5,4,5,5,4,5,3,2,3,2,3,3,2,3,4,4,4,4,0,1,0,0,1,0,1,1,1,1,1,1,0,1,4,4,4,4,4,4,4,3,3,3,3,2,2,3,4,2,3,3,5,4.25,4.75,4,4,4,3.4,4.2,3.6,3.4,0.692307692307692,2.625,2.66666666666667,2.77777777777778,3.77777777777778
