"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5","failure_sc_1","failure_sc_2","criticism_sc_1","criticism_sc_2","challenge_sc","iq_ms_1","iq_ms_2","failure_ms_1","failure_ms_2","failure_ms_3","failure_ms_4","criticism_ms_1","criticism_ms_2","criticism_ms_3","criticism_ms_4","challenge_ms_1","challenge_ms_2","challenge_ms_3","challenge_ms_4","ego_res_1","ego_res_2","ego_res_3","ego_res_4","ego_res_5","ego_res_6","ego_res_7","ego_res_8","ego_res_9","ego_res_10","ego_res_11"
"13","R_3G2gSTpZUcvVMQ5","izgalom","fejleszt","küzdelem","eredmény","siker","pozitív","inkább pozitív","inkább negatív","inkább pozitív","pozitív","építő","negatív","vélemény","mű","szakember","pozitív","inkább negatív","semleges","inkább pozitív","semleges","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek"
"14","R_3Es3mJWPT15UKOy","nehézség","munka","siker","megpróbáltatás","próba","inkább negatív","inkább pozitív","pozitív","semleges","semleges","vélemény","segítség","elemzés","értékelés","ismeret","inkább pozitív","pozitív","inkább pozitív","inkább pozitív","semleges","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet"
"15","R_3KBm45EKnOrP76z","Nehéz","Időigényes","Megtérülés","Versenyszellem","Felhívás","semleges","inkább negatív","pozitív","inkább pozitív","semleges","Igazság","Tudálékosság","Visszajelzés","Ellenőrzés","Beszélgetés","semleges","inkább negatív","pozitív","semleges","inkább pozitív","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Inkább egyetértek"
"16","R_20ZGRPTpLGZMEBI","cél","krízis","eredmény","nehézség","új","semleges","inkább pozitív","inkább pozitív","inkább negatív","inkább pozitív","vélemény","fejlődés","lehetőség","színház","önmagam","semleges","inkább pozitív","pozitív","pozitív","inkább pozitív","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyetértek","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek"
"17","R_OxkcLM1Yim85zA5","jövő","épít","lefoglal","aktivitás","tanulás","inkább pozitív","pozitív","inkább pozitív","inkább pozitív","inkább pozitív","épít","előrejutás","őszinte","rosszindulat","féltékenység","pozitív","pozitív","pozitív","negatív","negatív","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Talán így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Teljes mértékben egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Inkább nem értek egyet","Teljes mértékben egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek"
"18","R_1dbqfpszlMi0BRq","Nehézség","Mérce","Elismerés","Feladat","Önértékelés","inkább pozitív","inkább negatív","pozitív","inkább pozitív","pozitív","Pozitív","Negatív","Segítség","Sertés","Vélemény","pozitív","negatív","pozitív","negatív","inkább pozitív","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyáltalán nem értek egyet","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Teljes mértékben egyetértek"
"19","R_3Pw6Zi39j9TxXoN","nehézség","izgalom","kétségek","öröm","csalódottság","negatív","inkább pozitív","negatív","pozitív","negatív","építő","megfelelés","visszajelzés","elégedettség","csalódottság","inkább pozitív","inkább negatív","semleges","pozitív","negatív","Teljes mértékben így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Nem értek egyet","Egyetértek","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek"
"20","R_24d6VwAXrBJS5vm","verseny","teljesítmény","siker","kitartás","tovább","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","semleges","hiba","tévedés","fejlődés","őszinteség","kapcsolat","inkább negatív","inkább negatív","inkább pozitív","pozitív","semleges","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek"
"21","R_ai1KvgF8lYasgM1","Verseny","Versenyző","Mérce","Küzdelmek","Teljesít","pozitív","inkább pozitív","inkább pozitív","semleges","pozitív","Vélemény","Negatív","Pozitív","Értékelés","Pontozás","semleges","negatív","pozitív","inkább pozitív","semleges","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyáltalán nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek"
"22","R_2xEstSZMTQmMFaY","Megoldás","Folyamat","Gondolkodás","Siker","Kudarc","pozitív","inkább pozitív","inkább pozitív","pozitív","negatív","Építő","Elfogadás","Kudarc","Elrontott","Visszásság","pozitív","inkább pozitív","negatív","negatív","inkább negatív","Talán így gondolnám.","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek"
"23","R_1BYmyFupxGuWokw","odafigyelés","kemény munka","stressz","fáradtság","sok idő","semleges","inkább pozitív","negatív","negatív","inkább negatív","negatív","építő jellegű","pozitív","rossz teljesítmény","hiányos","negatív","inkább pozitív","pozitív","negatív","inkább negatív","Talán így gondolnám.","Teljes mértékben így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyetértek","Inkább egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább nem értek egyet"
"24","R_3DpBjgFa7i0Nl0g","boldogít","verseny","adrenalin","eredmény","megfelelő","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","pozitív","film","pozitív-negatív","kritikus","vélemény","fontos","inkább pozitív","semleges","semleges","inkább pozitív","pozitív","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Teljes mértékben egyetértek"
"25","R_3dE2Q9vK0zVUhz5","vizsga","nehéz","megoldás","akadály","tudás","negatív","negatív","pozitív","semleges","pozitív","hallgatás","júindulat","építő","bántó","megosztó","inkább pozitív","pozitív","pozitív","negatív","semleges","Teljes mértékben így gondolnám.","Teljes mértékben így gondolnám.","Teljes mértékben így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyáltalán nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek"
"26","R_SCyjlzuDN1ysSUp","Erő","Akarat","Öröm","Akarom","Menni fog","inkább pozitív","pozitív","pozitív","pozitív","pozitív","Én","Személyek","Szomorúság","Megbántás","Előítéletesség","semleges","inkább negatív","negatív","inkább negatív","inkább negatív","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek"
"27","R_31XwpJUWfZXL3mV","erőbefektetés","versenyszellem","ész","időzítés","ambíció","pozitív","semleges","pozitív","inkább negatív","pozitív","vélemény","megbélyegzés","mások","befolyásolás","film","semleges","negatív","semleges","inkább negatív","semleges","Teljes mértékben így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Nem értek egyet","Egyetértek","Inkább nem értek egyet","Egyetértek","Inkább egyetértek"
"28","R_5beW67FGo84hzJT","küzdés","cél","motiváció","iskola","sport","pozitív","pozitív","pozitív","inkább negatív","inkább pozitív","elítélés","szomorúság","depresszió","megalázás","szigor","negatív","negatív","negatív","negatív","inkább negatív","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Egyetértek","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Nem értek egyet"
