"","ResponseId","t1p1","Q76_First Click","Q76_Last Click","Q76_Page Submit","Q76_Click Count","t1p2","Q77_First Click","Q77_Last Click","Q77_Page Submit","Q77_Click Count","t1p3","Q78_First Click","Q78_Last Click","Q78_Page Submit","Q78_Click Count","t1p4","Q79_First Click","Q79_Last Click","Q79_Page Submit","Q79_Click Count","t1difchc","Q64_First Click","Q64_Last Click","Q64_Page Submit","Q64_Click Count","t1pp1","t1pp1t1_First Click","t1pp1t1_Last Click","t1pp1t1_Page Submit","t1pp1t1_Click Count","t1pp1w","t1pp1r","t1pp1t2_First Click","t1pp1t2_Last Click","t1pp1t2_Page Submit","t1pp1t2_Click Count","t1pp2","t1pp2t1_First Click","t1pp2t1_Last Click","t1pp2t1_Page Submit","t1pp2t1_Click Count","t1pp2w","t1pp2r","t1pp2t2_First Click","t1pp2t2_Last Click","t1pp2t2_Page Submit","t1pp2t2_Click Count","t1pp3","t1pp3t1_First Click","t1pp3t1_Last Click","t1pp3t1_Page Submit","t1pp3t1_Click Count","t1pp3w","t1pp3r","t1pp3t2_First Click","t1pp3t2_Last Click","t1pp3t2_Page Submit","t1pp3t2_Click Count","t1tp1","t1tp1time_First Click","t1tp1time_Last Click","t1tp1time_Page Submit","t1tp1time_Click Count","t1tp1choice","t1tp2","t1tp2time_First Click","t1tp2time_Last Click","t1tp2time_Page Submit","t1tp2time_Click Count","t1tp2choice","t1tp3","t1tp3time_First Click","t1tp3time_Last Click","t1tp3time_Page Submit","t1tp3time_Click Count","t1tp3choice","t1tp4","t1tp4time_First Click","t1tp4time_Last Click","t1tp4time_Page Submit","t1tp4time_Click Count","t1tp4choice","t1tp5","t1tp5time_First Click","t1tp5time_Last Click","t1tp5time_Page Submit","t1tp5time_Click Count","t1tp5choice","t1tp6","t1tp6time_First Click","t1tp6time_Last Click","t1tp6time_Page Submit","t1tp6time_Click Count","t1tp6choice","t1tp7","t1tp7time_First Click","t1tp7time_Last Click","t1tp7time_Page Submit","t1tp7time_Click Count","t1tp7choice","t1tp8","t1tp8time_First Click","t1tp8time_Last Click","t1tp8time_Page Submit","t1tp8time_Click Count"
"11","R_1QAwVkJmqoaLlXe",6,14.666,14.666,16.864,1,3,10.95,10.95,14.617,1,1,20.769,20.769,24.447,1,6,10.567,10.567,11.802,1,0,0,0,52.332,0,6,44.733,44.733,46.222,1,NA,0,NA,NA,NA,NA,5,31.867,31.867,33.524,1,NA,0,NA,NA,NA,NA,1,40.37,49.164,51.527,2,NA,0,NA,NA,NA,NA,8,7.938,11.999,13.503,2,1,2,57.532,59.132,62.411,2,1,7,22.385,39.143,41.391,7,1,5,16.973,19.903,21.196,2,1,6,5.642,6.532,7.899,2,1,1,10.214,12.529,14.115,2,1,1,16.895,24.336,26.415,4,1,4,8.525,8.525,10.968,1
"12","R_3ltrfjqlIe68iuh",6,15.643,15.643,16.659,1,3,4.203,4.203,5.183,1,1,12.991,12.991,13.957,1,6,6.292,6.292,7.392,1,0,0,0,11.727,0,3,31.881,31.881,33.022,1,1,NA,0,0,8.814,0,5,127.31,127.31,128.149,1,NA,1,0,0,18.644,0,1,38.229,38.229,39.363,1,NA,0,NA,NA,NA,NA,8,9.123,23.321,27.442,2,1,8,53.536,54.554,56.369,2,1,9,39.336,40.259,41.032,2,1,1,39.355,41.052,41.843,2,1,9,52.189,52.984,53.714,2,1,5,12.5,13.445,23.34,2,1,5,18.393,20.143,20.774,2,1,9,72.663,72.663,73.495,1
"13","R_ZeNhsKTh0T8PmiR",6,15.651,15.651,17.096,1,4,40,40,41.456,1,1,26.138,26.138,27.483,1,4,24.814,24.814,26.566,1,1,0,0,11.137,0,4,38.89,38.89,39.869,1,1,NA,0,0,25.653,0,3,48.299,48.299,49.372,1,1,NA,0,0,28.671,0,1,33.98,33.98,35.167,1,NA,0,NA,NA,NA,NA,8,17.124,21.352,23.789,2,1,7,180.551,182.044,186.421,2,1,6,92.601,93.611,95.208,2,1,1,52.088,53.471,54.735,2,1,7,106.414,107.67,108.498,2,1,5,14.194,19.454,24.2,2,1,5,33.031,35.519,36.883,2,1,1,22.735,22.735,25.285,1
"14","R_WD7wn68fdj2HBUB",6,15.25,15.25,18.039,1,1,33.16,33.16,35.893,1,3,17.575,17.575,19.112,1,6,11.06,11.06,13.029,1,0,0,0,9.295,0,6,29.466,29.466,30.448,1,NA,1,0,0,15.662,0,1,78.623,79.854,80.454,2,1,NA,0,0,6.661,0,5,29.144,29.144,30.013,1,1,NA,0,0,1.785,0,8,14.378,18.769,20.176,3,1,3,55.595,57.036,58.214,2,1,9,25.765,27.149,28.618,2,1,7,35.676,47.169,48.114,3,1,1,10.818,11.909,13.188,2,1,5,21.623,23.727,24.62,2,1,5,23.513,24.847,25.774,2,1,1,8.11,8.11,9.902,1
"15","R_262q9CH5xlLCHzR",6,15.19,15.19,22.199,1,3,18.934,18.934,22.733,1,1,38.495,38.495,40.999,1,6,9.103,9.103,17.138,1,1,0,0,17.914,0,6,47.826,47.826,52.028,1,NA,1,34.915,55.941,76.324,8,5,101.07,105.469,109.341,3,NA,1,0,0,17.033,0,1,74.083,74.083,77.291,1,NA,1,0,0,13.966,0,8,24.949,27.089,28.781,2,1,7,168.249,170.399,173.115,2,1,9,306.295,308.164,309.629,2,1,5,64.904,75.929,76.96,2,1,4,58.592,60.682,61.787,2,1,5,20.101,36.02,37.309,2,1,5,33.127,36.236,37.373,2,1,1,17.714,17.714,24.618,1
"16","R_DMpo96tff01Ufnj",6,18.805,27.024,29.824,3,3,13.413,16.622,17.797,3,1,3.633,59.658,62.084,2,6,7.925,11.388,12.923,2,0,0,0,17.695,0,6,4.727,95.341,96.91,3,NA,1,14.253,14.253,24.887,1,2,1.275,160.643,162.238,2,1,NA,5.748,21.931,35.068,3,4,3.239,121.353,123.243,2,1,NA,30.837,30.837,32.253,1,8,11.568,23.788,25.357,4,1,7,2.968,167.386,168.369,5,1,5,4.771,164.78,166.16,4,1,7,2.023,83.469,84.689,7,1,4,50.875,56.345,57.367,3,1,5,2.284,19.925,21.25,5,1,5,2.839,52.652,53.714,5,1,1,3.055,57.329,58.734,6
"17","R_bD9qII0RhgPR48F",6,8.25,14.302,16.914,2,3,5,5,7.364,1,1,17.221,35.224,37.191,3,6,6.008,6.008,7.702,1,1,0,0,13.525,0,8,42.101,42.101,43.273,1,1,NA,14.324,14.324,15.949,1,6,55.856,55.856,57.145,1,1,NA,0,0,18.677,0,1,20.644,20.644,22.217,1,NA,0,NA,NA,NA,NA,8,6.342,21.08,22.454,4,1,8,36.145,39.145,40.498,3,1,9,36.926,38.222,39.705,2,1,3,58.164,61.319,63.134,3,1,9,17.383,22.789,24.141,3,1,5,12.587,15.624,16.868,3,1,5,22.7,28.623,29.581,3,1,1,13.124,14.698,15.955,2
"18","R_2EaWiea7JkXXJdf",6,11.312,11.312,13.14,1,3,4.644,4.644,6.198,1,1,16.83,16.83,18.414,1,6,16.059,16.059,17.199,1,1,0,0,10.089,0,1,31.715,31.715,34.437,1,0,NA,NA,NA,NA,NA,6,22.468,22.468,23.64,1,0,NA,NA,NA,NA,NA,7,6.485,6.485,7.319,1,0,NA,NA,NA,NA,NA,8,14.939,24.003,26.461,2,1,9,47.689,51.089,52.349,2,1,9,12.573,14.773,15.738,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","R_2tAtYaW1WunvTAg",6,16.314,25.856,26.903,3,3,7.917,9.624,11.152,2,1,52.165,54.11,55.313,2,6,9.598,10.647,11.846,2,1,0,0,20.483,0,2,13.791,101.058,102.384,6,1,NA,71.1,71.1,72.059,1,2,83.745,86.993,88.168,2,1,NA,23.661,107.571,110.931,2,1,44.76,46.294,47.409,2,NA,0,NA,NA,NA,NA,8,17.238,34.971,36.654,4,1,7,106.185,109.643,110.972,3,1,1,126.326,171.502,172.85,4,1,5,111.718,120.229,121.448,4,1,4,120.31,122.966,123.97,3,1,5,12.326,32.995,34.088,4,1,5,5.302,52.857,53.913,4,1,1,19.621,21.036,22.157,2
"20","R_2frMk4c4mp8NOO7",6,16.479,24.832,26.333,3,3,16.461,19.702,22.753,2,1,79.155,91.619,93.459,3,6,17.011,18.308,19.373,2,1,0,0,18.637,0,6,4.192,171.768,172.925,4,NA,0,NA,NA,NA,NA,5,105.705,124.568,125.658,3,NA,0,NA,NA,NA,NA,1,110.516,112.788,113.67,2,NA,0,NA,NA,NA,NA,8,20.13,34.224,37.428,4,1,7,113.397,121.239,122.583,3,1,2,332.319,335.836,336.952,3,1,8,123.18,125.474,126.815,3,1,2,102.908,106.762,108.113,3,1,5,46.333,52.691,54.707,3,1,5,80.706,111.965,114.133,4,1,1,23.405,28.753,29.8,2
"21","R_tGprPBkceKLxl1T",6,13.373,17.089,19.965,2,3,7.297,7.297,8.829,1,1,1.243,26.401,28.76,2,6,6.46,6.46,7.684,1,1,0,0,14.286,0,3,2.515,199.016,202.64,3,1,NA,61.855,61.855,63.595,1,2,151.132,157.929,163.373,2,1,NA,36.503,36.503,38.547,1,1,117.955,117.955,119.983,1,NA,1,24.506,24.506,26.788,1,8,3.022,35.128,35.972,8,1,7,235.789,240.16,241.57,4,1,9,221.159,224.016,225.223,3,1,9,4.146,164.228,165.331,7,1,7,71.143,80.134,81.411,4,1,5,2.792,27.948,28.708,5,1,5,25.932,30.055,30.847,4,1,1,2.44,38.331,39.387,3
"22","R_Z8KhtTSD7Eu3bC9",6,23.122,23.122,24.887,1,3,12.109,12.109,15.413,1,1,39.728,39.728,42.076,1,6,11.324,11.324,14.142,1,0,0,0,20.954,0,6,57.143,57.143,60.292,1,NA,1,0,0,17.05,0,4,86.48,86.48,88.016,1,1,NA,0,0,25.148,0,2,89.78,89.78,91.327,1,1,NA,0,0,30.444,0,8,18.015,21.258,23.115,2,1,7,105.831,108.308,109.319,2,1,1,71.351,74.952,76.81,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","R_saRM3FfPFa0PayB",6,11.619,16.151,17.137,2,2,3.08,10.329,11.488,2,1,1.451,13.679,15.491,2,6,2.134,5.892,6.922,2,0,0,0,7.546,0,8,2.577,8.174,9.006,3,1,NA,4.539,4.539,5.648,1,4,2.361,3.555,4.68,2,0,NA,NA,NA,NA,NA,1,1.855,13.786,15.109,2,NA,0,NA,NA,NA,NA,2,2.681,8.278,10.56,5,1,9,1.156,2.443,3.447,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","R_2tbz9K8lPPnh3Aq",6,12.507,12.507,16.706,1,3,4.546,4.546,6.045,1,1,13.424,13.424,14.721,1,6,4.813,4.813,6.123,1,1,0,0,14.883,0,6,73.429,73.429,74.966,1,NA,1,0,0,10.74,0,1,72.135,72.135,73.71,1,1,NA,0,0,19.109,0,1,23.623,23.623,25.604,1,NA,0,NA,NA,NA,NA,6,11.822,15.432,16.901,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","R_bvyiwHFTLSPI3tf",2,16.862,16.862,18.125,1,3,10.19,11.84,12.263,2,1,38.356,38.356,39.168,1,6,10.163,10.163,11.372,1,1,0,0,7.781,0,8,35.473,35.473,36.399,1,1,NA,0,0,8.001,0,5,19.268,19.268,20.788,1,NA,1,2.028,2.028,5.934,1,1,60.139,60.139,61.396,1,NA,1,0,0,2.501,0,8,12.727,19.122,20.747,2,1,6,32.428,34.794,35.839,2,1,7,28.94,45.594,46.922,4,1,3,16.809,22.475,23.839,3,1,6,7.804,11.135,12.327,4,1,5,13.109,22.087,24.255,2,1,3,17.129,31.675,34.212,5,1,6,26.311,26.311,29.792,1
"26","R_3saziGbfKQGKRvJ",6,14.288,14.288,15.442,1,3,8.45,8.45,10.016,1,1,19.914,19.914,39.865,1,6,7.272,7.272,9.016,1,1,0,0,10.842,0,6,78.228,78.228,79.422,1,NA,0,NA,NA,NA,NA,5,41.085,41.085,43.264,1,NA,0,NA,NA,NA,NA,1,42.178,42.178,45.146,1,NA,0,NA,NA,NA,NA,8,13.661,16.51,23.346,2,1,7,93.082,105.857,106.619,2,1,9,503.694,509.985,511.024,2,1,3,63.271,128.79,131.43,2,1,3,65.713,77.325,80.17,2,1,5,18.703,26.623,28.29,2,1,5,37.95,51.422,52.967,2,1,1,20.52,20.52,22.569,1
"27","R_2tkZVAsWefGv3sn",6,8.814,8.814,9.844,1,3,2.682,2.682,3.529,1,1,30.093,31.348,31.948,2,6,3.615,3.615,4.468,1,1,0,0,12.292,0,2,65.517,65.59,66.948,2,1,NA,0,0,47.654,0,2,59.73,59.73,60.68,1,1,NA,0,0,13.37,0,1,30.276,33.371,34.217,2,NA,0,NA,NA,NA,NA,8,11.655,15.703,18.51,2,1,7,87.536,90.767,91.54,3,1,9,60.1,60.844,61.471,2,1,5,57.71,60.821,61.55,2,1,9,44.356,45.14,45.829,2,1,5,10.075,11.89,12.631,2,1,5,15.091,16.643,19.721,2,1,1,12.826,12.826,13.766,1
"28","R_3GcBhLLrPTOohZv",6,7.88,21.469,22.8,5,3,10.404,11.922,12.848,2,1,3.285,61.559,62.626,3,6,7.162,8.504,9.417,2,1,0,0,20.25,0,6,87.303,89.941,90.6,4,NA,1,5.714,27.333,28.671,3,1,93.075,96.609,97.782,2,1,NA,1.699,68.877,69.993,9,1,24.231,25.411,26.52,2,NA,0,NA,NA,NA,NA,8,15.061,22.553,23.594,3,1,8,100.989,103.919,104.964,3,1,9,70.513,74.029,75.29,4,1,1,84.442,97.034,98.274,8,1,2,61.475,65.291,66.915,3,1,5,3.767,21.529,22.444,4,1,5,11.037,12.937,13.929,3,1,1,10.946,12.751,14.017,3
"29","R_2E5yDo4Ki0g5U2s",6,1.922,2.692,3.353,2,3,2.006,3.047,3.55,2,1,2.849,4.644,5.44,3,6,1.774,3.157,4.394,2,0,0,0,0.994,0,6,15.293,16.144,16.9,2,NA,0,NA,NA,NA,NA,8,1.932,2.883,16.287,2,0,NA,NA,NA,NA,NA,1,6.252,10.069,10.611,2,NA,0,NA,NA,NA,NA,8,1.549,5.046,6.224,4,1,4,5.543,8.081,8.816,3,1,1,2.292,4.541,5.221,4,1,4,2.577,6.729,7.501,7,1,6,8.601,25.253,26.423,3,1,4,9.035,11.591,12.195,4,1,5,31.33,33.336,34.257,3,1,1,8.865,10.739,14.082,2
"30","R_3mgiwpperKq7eyd",6,23.351,23.351,25.36,1,3,10.72,10.72,15.124,1,1,33.158,33.158,36.741,1,6,10.1,10.1,12.345,1,0,0,0,12.326,0,6,22.597,22.597,67.201,1,NA,0,NA,NA,NA,NA,5,62.32,62.32,64.042,1,NA,0,NA,NA,NA,NA,1,34.704,34.704,37.443,1,NA,0,NA,NA,NA,NA,8,17.317,19.861,25.88,2,1,8,60.281,66.066,67.828,2,1,9,48.188,50.437,51.724,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","R_2uvSc36zXYrYHb3",6,12.753,32.082,33.446,4,3,7.761,13.011,14.589,2,1,34.099,38.206,39.117,3,6,7.17,8.186,9.351,2,0,0,0,15.942,0,4,4.087,28.487,32.698,3,1,NA,28.068,28.068,40.721,1,1,117.136,120.369,131.972,3,1,NA,27.52,27.52,28.924,1,5,41.417,45.395,47.267,2,1,NA,13.582,13.582,21.173,1,8,18.814,37.485,39.968,5,1,6,14.183,59.35,62.956,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","R_3I00YrUQsuZDPj5",6,13.879,13.879,15.891,1,3,6.593,8.218,9.314,2,1,44.043,44.043,45.617,1,6,7.452,7.452,8.364,1,0,0,0,12.719,0,2,50.126,50.126,51.695,1,1,NA,0,0,21.671,0,5,38.243,40.246,41.689,3,NA,0,NA,NA,NA,NA,1,26.133,26.133,28.125,1,NA,0,NA,NA,NA,NA,8,16.462,29.857,32.536,3,1,9,65.158,67.039,69.641,2,1,1,31.576,33.793,36.215,2,1,7,46.225,47.696,48.736,2,1,7,33.341,34.373,35.834,2,1,3,24.202,25.924,29.457,2,1,5,49.821,51.216,52.842,2,1,1,35.645,35.645,36.984,1
"33","R_NUUcKvh3clJYEcp",6,14.038,16.729,18.271,2,3,9.74,9.74,12.486,1,3,19.495,21.896,23.253,2,6,7.756,7.756,9.005,1,1,0,0,9.949,0,8,44.463,62.465,63.811,3,1,NA,7.053,40.603,43.186,2,3,14.401,15.64,16.911,2,0,NA,NA,NA,NA,NA,3,16.816,16.816,18.654,1,0,NA,NA,NA,NA,NA,8,8.909,13.95,15.068,3,1,9,62.335,65.822,66.987,3,1,5,7.829,16.585,17.717,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","R_337ixxivHe6Q72h",6,21.432,21.432,22.644,1,3,15.972,15.972,19.006,1,1,51.214,51.214,58.848,1,6,19.649,19.649,20.73,1,1,0,0,16.903,0,6,80.455,80.455,81.906,1,NA,1,0,0,69.909,0,2,200.32,200.32,201.415,1,1,NA,0,0,126.228,0,1,35.597,35.597,36.816,1,NA,1,0,0,11.915,0,8,22.524,23.572,25.839,2,1,7,249.522,252.491,270.299,2,1,5,174.847,198.671,208.771,2,1,1,40.417,79.344,80.277,2,1,3,136.041,136.809,140.706,2,1,5,18.445,25.445,28.861,2,1,5,14.173,34.677,35.696,2,1,1,26.611,26.611,34.26,1
"35","R_30fdoA1lZgcXnrF",6,26.67,26.67,30.178,1,3,12.28,12.28,14.215,1,1,42.979,42.979,45.391,1,6,8.866,8.866,9.97,1,1,0,0,11.974,0,2,148.778,148.778,150.906,1,1,NA,0,0,41.783,0,1,113.51,113.51,115.315,1,1,NA,0,0,25.408,0,1,78.742,78.742,81.523,1,NA,1,0,0,15.385,0,8,23.843,29.583,34.805,3,1,8,172.208,181.644,183.088,2,1,1,419.531,420.869,422.226,2,1,7,121.211,122.663,124.83,2,1,1,124.088,134.594,136.405,2,1,5,13.226,16.87,19.401,2,1,5,22.136,26.152,27.846,2,1,1,11.398,11.398,16.55,1
